,mobile_name,mobile_price,mobile_rating,ROM(Storage),Camera,Processor,Website
0,"APPLE iPhone 12 mini (Black, 64 GB)","ýýý37,999",4.5,64 GB ROM,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,https://www.flipkart.com/apple-iphone-12-mini-black-64-gb/p/itm38b727191eb08?pid=MOBFWBYZXSEGBS6F&lid=LSTMOBFWBYZXSEGBS6FTONJ6W&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBFWBYZXSEGBS6F.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
1,"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","ýýý61,999",4.7,128 GB ROM,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-13-product-red-128-gb/p/itm99b5658d148b0?pid=MOBG6VF59ZFEPEBX&lid=LSTMOBG6VF59ZFEPEBXH3IWCE&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBG6VF59ZFEPEBX.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
2,"APPLE iPhone 13 (Midnight, 128 GB)","ýýý61,999",4.7,128 GB ROM,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-13-midnight-128-gb/p/itmca361aab1c5b0?pid=MOBG6VF5Q82T3XRS&lid=LSTMOBG6VF5Q82T3XRSOXJLM9&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBG6VF5Q82T3XRS.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
3,"APPLE iPhone 11 (Red, 64 GB)","ýýý37,999",4.6,64 GB ROM,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-11-red-64-gb/p/itmc3935326f2feb?pid=MOBFWQ6BYYV3FCU7&lid=LSTMOBFWQ6BYYV3FCU7ZCY7Y9&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBFWQ6BYYV3FCU7.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
4,"APPLE iPhone 11 (Black, 64 GB)","ýýý38,999",4.6,64 GB ROM,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-11-black-64-gb/p/itm4e5041ba101fd?pid=MOBFWQ6BXGJCEYNY&lid=LSTMOBFWQ6BXGJCEYNYZXSHRJ&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBFWQ6BXGJCEYNY.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
5,"APPLE iPhone 13 (Green, 128 GB)","ýýý61,999",4.7,128 GB ROM,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-13-green-128-gb/p/itm18a55937b2607?pid=MOBGC9VGSU9DWGJZ&lid=LSTMOBGC9VGSU9DWGJZ0Q1T8E&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBGC9VGSU9DWGJZ.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
6,"APPLE iPhone 12 mini (White, 64 GB)","ýýý37,999",4.5,64 GB ROM,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,https://www.flipkart.com/apple-iphone-12-mini-white-64-gb/p/itmf3b16d1640898?pid=MOBFWBYZBH4CEC4C&lid=LSTMOBFWBYZBH4CEC4C560H6J&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBFWBYZBH4CEC4C.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
7,"APPLE iPhone 11 (White, 64 GB)","ýýý38,999",4.6,64 GB ROM,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-11-white-64-gb/p/itmfc6a7091eb20b?pid=MOBFWQ6BVWVEH3XE&lid=LSTMOBFWQ6BVWVEH3XEMXQMLO&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBFWQ6BVWVEH3XE.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
8,"APPLE iPhone 11 (Red, 128 GB)","ýýý43,999",4.6,128 GB ROM,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-11-red-128-gb/p/itm8d14bd0e33a1c?pid=MOBFWQ6BEZTNK59G&lid=LSTMOBFWQ6BEZTNK59G4PTPDM&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBFWQ6BEZTNK59G.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
9,"APPLE iPhone 11 (White, 128 GB)","ýýý45,999",4.6,128 GB ROM,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-11-white-128-gb/p/itme32df47ea6742?pid=MOBFWQ6B7KKRXDDS&lid=LSTMOBFWQ6B7KKRXDDSUPVRTR&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBFWQ6B7KKRXDDS.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
10,"APPLE iPhone 11 (Black, 128 GB)","ýýý45,999",4.6,128 GB ROM,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-11-black-128-gb/p/itm8244e8d955aba?pid=MOBFWQ6BKRYBP5X8&lid=LSTMOBFWQ6BKRYBP5X8IBG6BS&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBFWQ6BKRYBP5X8.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
11,"APPLE iPhone 11 (Green, 64 GB)","ýýý39,999",4.6,64 GB ROM,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-11-purple-64-gb/p/itm2b8d03427ddac?pid=MOBFWQ6BTFFJKGKE&lid=LSTMOBFWQ6BTFFJKGKEPGQVOJ&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBFWQ6BTFFJKGKE.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
12,"APPLE iPhone 11 (Purple, 64 GB)","ýýý39,999",4.6,64 GB ROM,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-11-green-64-gb/p/itm386a85013a3d1?pid=MOBFWQ6BHPMG29QM&lid=LSTMOBFWQ6BHPMG29QMMGHL6F&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBFWQ6BHPMG29QM.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
13,"APPLE iPhone 13 (Blue, 128 GB)","ýýý61,999",4.7,128 GB ROM,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c?pid=MOBG6VF5SMXPNQHG&lid=LSTMOBG6VF5SMXPNQHGH3DY6Z&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBG6VF5SMXPNQHG.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
14,"APPLE iPhone 12 mini (Black, 128 GB)","ýýý42,999",4.5,128 GB ROM,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,https://www.flipkart.com/apple-iphone-12-mini-black-128-gb/p/itm0eb512c195bdf?pid=MOBFWBYZH2AMPNPD&lid=LSTMOBFWBYZH2AMPNPDMB1TEO&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBFWBYZH2AMPNPD.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
15,"APPLE iPhone 12 mini (Blue, 64 GB)","ýýý37,999",4.5,64 GB ROM,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,https://www.flipkart.com/apple-iphone-12-mini-blue-64-gb/p/itm2883104474448?pid=MOBFWBYZC6UYGR2R&lid=LSTMOBFWBYZC6UYGR2RSLTAQT&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&iid=c1467415-b96c-4e17-a336-918fd2b1d9e4.MOBFWBYZC6UYGR2R.SEARCH&ssid=y55zxotu5c0000001672605125853&qH=3e7fa8c51e2e4986
